       step          sn     cputime cputimediff       angle         ref       error           v 
 239.000000  484.000000    2.434197    0.005948  155.478516  151.200000   -4.278516   -0.432043 
 240.000000  486.000000    2.440216    0.006019  157.851562  154.800000   -3.051562   -0.495050 
 241.000000  487.000000    2.446111    0.005895  157.500000  156.600000   -0.900000    0.094509 
 242.000000  488.000000    2.452005    0.005894  156.796875  158.400000    1.603125    0.385539 
 243.000000  489.000000    2.457900    0.005895  156.269531  160.200000    3.930469    0.639064 
 244.000000  490.000000    2.463797    0.005897  155.830078  162.000000    6.169922    0.810081 
 245.000000  492.000000    2.469693    0.005896  159.169922  165.600000    6.430078    1.171617 
 246.000000  493.000000    2.475598    0.005905  162.685547  167.400000    4.714453    0.660066 
 247.000000  494.000000    2.481495    0.005897  167.519531  169.200000    1.680469    0.360036 
 248.000000  495.000000    2.487449    0.005954  172.089844  171.000000   -1.089844   -0.060006 
 249.000000  496.000000    2.493411    0.005963  175.517578  172.800000   -2.717578   -0.256526 
 250.000000  497.000000    2.499314    0.005903  177.714844  174.600000   -3.114844   -0.244524 
 251.000000  499.000000    2.505222    0.005908  179.296875  178.200000   -1.096875   -0.153015 
 252.000000  500.000000    2.511131    0.005910  179.384766  180.000000    0.615234    0.273027 
 253.000000  501.000000    2.517020    0.005889  179.384766  178.200000   -1.184766    0.460546 
 254.000000  502.000000    2.522916    0.005896  179.296875  176.400000   -2.896875   -0.141014 
 255.000000  503.000000    2.528820    0.005905  180.087891  174.600000   -5.487891   -0.273027 
 256.000000  505.000000    2.534720    0.005900  181.318359  171.000000  -10.318359   -0.817582 
 257.000000  506.000000    2.540626    0.005906  180.527344  169.200000  -11.327344   -0.916592 
 258.000000  507.000000    2.546526    0.005900  178.945312  167.400000  -11.545313   -0.891089 
 259.000000  508.000000    2.552424    0.005898  176.660156  165.600000  -11.060156   -0.810081 
 260.000000  509.000000    2.558318    0.005893  173.056641  163.800000   -9.256641   -0.682568 
 261.000000  510.000000    2.564211    0.005893  168.398438  162.000000   -6.398438   -0.364536 
 262.000000  512.000000    2.570105    0.005894  161.982422  158.400000   -3.582422    0.243024 
 263.000000  513.000000    2.576000    0.005896  159.433594  156.600000   -2.833594   -0.001500 
 264.000000  514.000000    2.581903    0.005903  157.412109  154.800000   -2.612109    0.025503 
 265.000000  515.000000    2.587802    0.005899  157.060547  153.000000   -4.060547   -0.024002 
 266.000000  516.000000    2.593884    0.006082  156.884766  151.200000   -5.684766   -0.361536 
 267.000000  518.000000    2.599835    0.005951  156.621094  147.600000   -9.021094   -0.654065 
 268.000000  519.000000    2.605790    0.005955  156.533203  145.800000  -10.733203   -0.811581 
 269.000000  520.000000    2.611738    0.005948  154.687500  144.000000  -10.687500   -0.957096 
 270.000000  521.000000    2.617681    0.005943  151.699219  142.200000   -9.499219   -0.729073 
 271.000000  522.000000    2.623773    0.006092  148.007812  140.400000   -7.607812   -0.486049 
 272.000000  524.000000    2.629675    0.005902  140.097656  136.800000   -3.297656   -0.084008 
 273.000000  525.000000    2.635657    0.005982  137.548828  135.000000   -2.548828    0.124512 
 274.000000  526.000000    2.641556    0.005899  135.615234  133.200000   -2.415234    0.028503 
 275.000000  527.000000    2.647449    0.005893  134.648438  131.400000   -3.248438   -0.040504 
 276.000000  528.000000    2.653335    0.005886  133.769531  129.600000   -4.169531   -0.235524 
 277.000000  529.000000    2.659276    0.005941  133.066406  127.800000   -5.266406   -0.324032 
 278.000000  531.000000    2.665178    0.005903  130.781250  124.200000   -6.581250   -0.531053 
 279.000000  532.000000    2.671080    0.005901  129.023438  122.400000   -6.623438   -0.427543 
 280.000000  533.000000    2.676977    0.005897  126.123047  120.600000   -5.523047   -0.421542 
 281.000000  534.000000    2.682878    0.005902  124.365234  118.800000   -5.565234   -0.184518 
 282.000000  535.000000    2.688775    0.005897  123.046875  117.000000   -6.046875   -0.337534 
 283.000000  537.000000    2.694671    0.005896  121.113281  113.400000   -7.713281   -0.475548 
 284.000000  538.000000    2.700577    0.005906  119.794922  111.600000   -8.194922   -0.634563 
 285.000000  539.000000    2.706472    0.005895  117.333984  109.800000   -7.533984   -0.619562 
 286.000000  540.000000    2.712371    0.005899  115.136719  108.000000   -7.136719   -0.420042 
 287.000000  541.000000    2.718265    0.005894  113.027344  106.200000   -6.827344   -0.423042 
 288.000000  542.000000    2.724164    0.005899  110.478516  104.400000   -6.078516   -0.409541 
 289.000000  544.000000    2.730056    0.005892  103.886719  100.800000   -3.086719   -0.231023 
 290.000000  545.000000    2.736074    0.006018  101.953125   99.000000   -2.953125    0.054005 
 291.000000  546.000000    2.741979    0.005905  100.546875   97.200000   -3.346875   -0.117012 
 292.000000  547.000000    2.747883    0.005904   99.580078   95.400000   -4.180078   -0.217522 
 293.000000  548.000000    2.753783    0.005900   98.789062   93.600000   -5.189063   -0.345035 
 294.000000  550.000000    2.759681    0.005898   96.416016   90.000000   -6.416016   -0.537054 
 295.000000  551.000000    2.765593    0.005912   94.746094   88.200000   -6.546094   -0.444044 
 296.000000  552.000000    2.771485    0.005892   93.339844   86.400000   -6.939844   -0.457546 
 297.000000  553.000000    2.777368    0.005883   92.021484   84.600000   -7.421484   -0.525053 
 298.000000  554.000000    2.783322    0.005954   90.703125   82.800000   -7.903125   -0.579058 
 299.000000  555.000000    2.789274    0.005951   87.978516   81.000000   -6.978516   -0.621062 
 300.000000  557.000000    2.795322    0.006048   82.353516   77.400000   -4.953516   -0.288029 
 301.000000  558.000000    2.801278    0.005957   79.453125   75.600000   -3.853125   -0.154515 
 302.000000  559.000000    2.807341    0.006063   76.728516   73.800000   -2.928516   -0.087009 
 303.000000  560.000000    2.813237    0.005895   74.179688   72.000000   -2.179688   -0.034503 
 304.000000  561.000000    2.819127    0.005891   72.685547   70.200000   -2.485547    0.004500 
 305.000000  563.000000    2.825029    0.005902   72.070312   66.600000   -5.470312   -0.183018 
 306.000000  564.000000    2.830932    0.005902   72.246094   64.800000   -7.446094   -0.600060 
 307.000000  565.000000    2.836829    0.005897   72.421875   63.000000   -9.421875   -0.789079 
 308.000000  566.000000    2.842730    0.005901   72.509766   61.200000  -11.309766   -0.955596 
 309.000000  567.000000    2.848625    0.005895   71.191406   59.400000  -11.791406   -1.104110 
 310.000000  569.000000    2.854524    0.005899   63.896484   55.800000   -8.096484   -1.005101 
 311.000000  570.000000    2.860426    0.005902   58.183594   54.000000   -4.183594   -0.279028 
